Date,Day,Month Name,Quarter,Year,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,Month No,Stock Name
16-01-2025,Thursday,January,Q1,2025,EQ,1258.9,1275,1251.3,1252.2,1275,1266.45,1262.86,3217.6,1201.5,14117603,17828486686,207451,1,Reliance
15-01-2025,Wednesday,January,Q1,2025,EQ,1244.95,1257,1241.85,1238.75,1252,1252.2,1250.11,3217.6,1201.5,9578856,11974600753,220174,1,Reliance
14-01-2025,Tuesday,January,Q1,2025,EQ,1244.1,1253.35,1227.25,1239.85,1239,1238.75,1236.46,3217.6,1201.5,13095266,16191765836,278977,1,Reliance
13-01-2025,Monday,January,Q1,2025,EQ,1230,1245.25,1226.4,1241.9,1240.75,1239.85,1238.1,3217.6,1201.5,13764861,17042274860,398257,1,Reliance
10-01-2025,Friday,January,Q1,2025,EQ,1253.85,1256.75,1236,1254.75,1245.55,1241.9,1245.97,3217.6,1201.5,8120332,10117685548,340024,1,Reliance
09-01-2025,Thursday,January,Q1,2025,EQ,1267,1269.75,1248.05,1265.5,1256.8,1254.75,1257.46,3217.6,1201.5,12794704,16088882554,390501,1,Reliance
08-01-2025,Wednesday,January,Q1,2025,EQ,1249,1271.05,1245.35,1240.85,1261.35,1265.5,1263.24,3217.6,1201.5,19346579,24439345121,531488,1,Reliance
07-01-2025,Tuesday,January,Q1,2025,EQ,1222,1244.5,1221.25,1218,1239.95,1240.85,1237.63,3217.6,1201.5,10070505,12463597633,216620,1,Reliance
06-01-2025,Monday,January,Q1,2025,EQ,1253.95,1262,1215,1251.15,1216.25,1218,1235.67,3217.6,1201.5,14816766,18308652264,317843,1,Reliance
03-01-2025,Friday,January,Q1,2025,EQ,1243.9,1262.05,1235.5,1241.8,1249.85,1251.15,1250.34,3217.6,1201.5,15521102,19406715599,277290,1,Reliance
02-01-2025,Thursday,January,Q1,2025,EQ,1221.25,1244.45,1220,1221.25,1240.55,1241.8,1234.32,3217.6,1201.5,15486276,19115027208,271108,1,Reliance
01-01-2025,Wednesday,January,Q1,2025,EQ,1214.85,1226.3,1211.6,1215.45,1222.75,1221.25,1221.01,3217.6,1201.5,5892590,7194899836,138528,1,Reliance
31-12-2024,Tuesday,December,Q4,2024,EQ,1208,1219.1,1206.15,1210.7,1216.4,1215.45,1213.08,3217.6,1201.5,6405475,7770338354,180916,12,Reliance
30-12-2024,Monday,December,Q4,2024,EQ,1216.4,1223.2,1208.1,1221.05,1211.5,1210.7,1214.71,3217.6,1201.5,8818766,10712229378,308317,12,Reliance
27-12-2024,Friday,December,Q4,2024,EQ,1218.3,1227.9,1217,1216.55,1221.5,1221.05,1223.2,3217.6,1201.5,7000397,8562895530,174882,12,Reliance
26-12-2024,Thursday,December,Q4,2024,EQ,1224.25,1227.7,1214.25,1222.75,1217,1216.55,1219.74,3217.6,1201.5,10016178,12217176987,256436,12,Reliance
24-12-2024,Tuesday,December,Q4,2024,EQ,1222.3,1233.55,1221,1222.3,1224.2,1222.75,1227.14,3217.6,1201.5,6734917,8264675853,207746,12,Reliance
