Date ,Day,Month Name,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14-07-2024,Sunday,July,Q3,2024,EQ,1652.00,1675.95,1647.35,1650.20,1660.00,1660.10,1664.63,1794.00,1363.55,19658098.00,32723506965.00,363538.00
13-07-2024,Saturday,July,Q3,2024,EQ,1652.00,1662.55,1645.80,1642.70,1650.00,1650.20,1655.58,1794.00,1363.55,13322309.00,22056157155.50,291916.00
12-07-2024,Friday,July,Q3,2024,EQ,1622.00,1638.40,1611.15,1621.90,1627.55,1622.70,1624.06,1794.00,1363.55,28024980.00,45514220345.85,332780.00
11-07-2024,Thursday,July,Q3,2024,EQ,1623.95,1625.85,1601.00,1626.10,1623.00,1621.90,1612.69,1794.00,1363.55,22088537.00,35621865220.10,483343.00
10-07-2024,Wednesday,July,Q3,2024,EQ,1629.95,1640.00,1620.75,1636.50,1628.70,1626.10,1627.60,1794.00,1363.55,22753591.00,37033758498.90,405034.00
09-07-2024,Tuesday,July,Q3,2024,EQ,1625.00,1646.70,1620.35,1635.35,1638.80,1636.50,1638.53,1794.00,1363.55,24275439.00,39776084749.70,442487.00
08-07-2024,Monday,July,Q3,2024,EQ,1645.30,1654.95,1627.15,1648.10,1636.35,1635.35,1640.07,1794.00,1363.55,19543900.00,32053306234.35,324769.00
05-07-2024,Friday,July,Q3,2024,EQ,1685.00,1685.00,1642.20,1727.15,1649.40,1648.10,1656.79,1794.00,1363.55,41121274.00,68129239005.75,1117072.00
04-07-2024,Thursday,July,Q3,2024,EQ,1759.75,1759.75,1724.85,1768.65,1728.00,1727.15,1735.22,1794.00,1363.55,22924329.00,39778717290.50,405416.00
03-07-2024,Wednesday,July,Q3,2024,EQ,1791.00,1794.00,1764.65,1730.60,1767.70,1768.65,1776.87,1794.00,1363.55,61608901.00,109470877766.90,846404.00
02-07-2024,Tuesday,July,Q3,2024,EQ,1715.00,1734.90,1702.75,1705.20,1728.00,1730.60,1722.46,1757.50,1363.55,22960845.00,39549118301.05,486972.00
01-07-2024,Monday,July,Q3,2024,EQ,1680.00,1707.30,1680.00,1683.80,1704.20,1705.20,1699.74,1757.50,1363.55,10593512.00,18006189828.25,355235.00
28-06-2024,Friday,June,Q2,2024,EQ,1697.60,1706.60,1679.00,1696.15,1685.00,1683.80,1692.59,1757.50,1363.55,13238023.00,22406574604.55,312550.00
27-06-2024,Thursday,June,Q2,2024,EQ,1696.10,1713.00,1686.60,1701.50,1696.45,1696.15,1697.92,1757.50,1363.55,27537325.00,46756142645.90,586504.00
26-06-2024,Wednesday,June,Q2,2024,EQ,1707.95,1710.90,1691.10,1711.35,1693.50,1701.50,1703.01,1757.50,1363.55,23798333.00,40528870562.05,424591.00
25-06-2024,Tuesday,June,Q2,2024,EQ,1671.10,1716.95,1671.10,1672.40,1707.00,1711.35,1705.04,1757.50,1363.55,37260774.00,63531128010.50,690683.00
24-06-2024,Monday,June,Q2,2024,EQ,1647.00,1675.10,1645.75,1665.75,1671.00,1672.40,1664.93,1757.50,1363.55,14272497.00,23762644259.60,387580.00
21-06-2024,Friday,June,Q2,2024,EQ,1672.85,1672.85,1643.15,1669.35,1661.65,1665.75,1658.68,1757.50,1363.55,25815388.00,42819437838.90,408577.00
20-06-2024,Thursday,June,Q2,2024,EQ,1669.80,1681.45,1652.00,1657.85,1667.25,1669.35,1667.89,1757.50,1363.55,20704371.00,34532604621.85,465827.00
19-06-2024,Wednesday,June,Q2,2024,EQ,1613.40,1669.90,1604.00,1607.80,1657.00,1657.85,1644.44,1757.50,1363.55,45065598.00,74107587437.40,709705.00
18-06-2024,Tuesday,June,Q2,2024,EQ,1596.90,1610.50,1589.45,1596.90,1608.00,1607.80,1604.04,1757.50,1363.55,16207857.00,25998073833.50,353540.00
14-06-2024,Friday,June,Q2,2024,EQ,1584.00,1599.00,1577.70,1580.75,1595.60,1596.90,1592.12,1757.50,1363.55,12770277.00,20331873861.15,320179.00
13-06-2024,Thursday,June,Q2,2024,EQ,1581.75,1585.70,1574.00,1574.15,1581.20,1580.75,1581.85,1757.50,1363.55,12060096.00,19077228502.15,281276.00
12-06-2024,Wednesday,June,Q2,2024,EQ,1575.00,1588.30,1566.40,1564.80,1569.00,1574.15,1576.98,1757.50,1363.55,19640218.00,30972287118.05,341079.00
11-06-2024,Tuesday,June,Q2,2024,EQ,1556.00,1571.00,1552.20,1561.30,1563.05,1564.80,1564.24,1757.50,1363.55,14772663.00,23107928769.20,458802.00
