Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
02-08-2024,EQ,1200,1220,1190,1208.35,1192.4,1193.65,1204.38,1269,828.25,1262150,1520106576,61455,TATA
01-08-2024,EQ,1188.95,1216,1188,1188.95,1210,1208.35,1205.36,1269,828.25,1675363,2019412646,71592,TATA
31-07-2024,EQ,1193,1193,1167,1194.9,1188,1188.95,1180.91,1269,828.25,2994289,3535977827,95396,TATA
30-07-2024,EQ,1206,1211.4,1189.2,1201.4,1195,1194.9,1197.28,1269,828.25,1331004,1593582370,78851,TATA
29-07-2024,EQ,1215,1222,1185,1213.65,1200.05,1201.4,1194.77,1269,828.25,1944124,2322785631,80688,TATA
26-07-2024,EQ,1216.05,1218.95,1205.4,1223.6,1212.8,1213.65,1211.41,1269,828.25,802492,972144680.6,37565,TATA
25-07-2024,EQ,1232,1235,1208.85,1231.25,1224,1223.6,1223.6,1269,828.25,2498031,3056590633,86306,TATA
24-07-2024,EQ,1257,1257.7,1217.4,1256.9,1233,1231.25,1229.6,1269,828.25,3325998,4089647211,121094,TATA
23-07-2024,EQ,1215,1262.6,1200.25,1204.8,1258,1256.9,1237.43,1269,828.25,5140297,6360780407,167465,TATA
22-07-2024,EQ,1185,1210.9,1182.25,1188,1206,1204.8,1201.75,1269,828.25,1698551,2041239695,83910,TATA
19-07-2024,EQ,1200,1200.1,1183,1193.4,1187.45,1188,1191.29,1269,828.25,1385064,1650019677,68905,TATA
18-07-2024,EQ,1175,1194.6,1170,1176.25,1192.7,1193.4,1184.98,1269,828.25,2559563,3033037286,117654,TATA
16-07-2024,EQ,1148.8,1179,1142.75,1148.8,1175,1176.25,1169.6,1269,828.25,2152821,2517939068,77235,TATA
15-07-2024,EQ,1152.5,1157,1139.8,1152.25,1146.75,1148.8,1146.91,1269,828.25,1201063,1377511151,41894,TATA
14-07-2024,EQ,1171.95,1181,1167.05,1171.2,1180,1177.55,1173.8,1269,828.25,802420,941879805.1,37354,TATA
13-07-2024,EQ,1182.95,1182.95,1166.75,1177.4,1171.45,1171.2,1171.67,1269,828.25,673329,788916982.5,40642,TATA
12-07-2024,EQ,1135,1154,1130.05,1131.4,1152,1152.25,1146.22,1269,822,1092749,1252527944,52913,TATA
11-07-2024,EQ,1150.55,1153.4,1125.5,1150.8,1130.25,1131.4,1135.85,1269,822,1883264,2139105420,75404,TATA
10-07-2024,EQ,1142.2,1156.75,1130,1142.2,1146.25,1150.8,1146.61,1269,822,1015150,1163983017,48587,TATA
09-07-2024,EQ,1161.4,1168.5,1140,1150.8,1142,1142.2,1149.3,1269,822,1545936,1776746425,75317,TATA
08-07-2024,EQ,1138,1164,1136,1137.4,1150,1150.8,1151.37,1269,822,1958676,2255153843,59194,TATA
05-07-2024,EQ,1135.4,1150.95,1132.7,1135.2,1135.3,1137.4,1139.68,1269,822,1281630,1460641932,46350,TATA
04-07-2024,EQ,1147.55,1154.8,1133.3,1146.35,1136.7,1135.2,1147.39,1269,822,2113837,2425397190,118371,TATA
03-07-2024,EQ,1114,1148.6,1112.05,1105,1144.25,1146.35,1135.27,1269,822,4406793,5002900514,150349,TATA
02-07-2024,EQ,1096,1110,1080,1094.55,1110,1105,1096.68,1269,822,2026189,2222083259,59555,TATA
01-07-2024,EQ,1090.1,1097.45,1088,1097.45,1096,1094.55,1092.17,1269,822,767705,838462788,48558,TATA
28-06-2024,EQ,1085.6,1104,1085,1085.6,1098,1097.45,1096.02,1269,822,1129490,1237947140,55557,TATA
27-06-2024,EQ,1090.1,1096.45,1077.85,1086.9,1084,1085.6,1083.97,1269,822,2272855,2463707339,116474,TATA
26-06-2024,EQ,1095.05,1099.8,1083.1,1094.6,1089.3,1086.9,1087.9,1269,822,1003738,1091968273,62830,TATA
25-06-2024,EQ,1108.15,1108.2,1090,1101.95,1094.5,1094.6,1096.69,1269,822,932314,1022457523,51047,TATA
24-06-2024,EQ,1080.15,1104,1077.15,1084.9,1103.9,1101.95,1095.54,1269,822,912255,999408675.3,42497,TATA
21-06-2024,EQ,1103.3,1105,1081.8,1103.25,1085,1084.9,1089.81,1269,822,1634958,1781801400,59806,TATA
20-06-2024,EQ,1108.05,1108.35,1096.1,1105.6,1103.05,1103.25,1100.69,1269,822,1223872,1347098207,72536,TATA
19-06-2024,EQ,1129.7,1130.9,1103,1126.9,1104.7,1105.6,1114.25,1269,822,1201455,1338726888,53806,TATA
18-06-2024,EQ,1112.45,1128.3,1112.45,1112.45,1125.95,1126.9,1123.49,1269,822,1161864,1305341335,38089,TATA
14-06-2024,EQ,1114.6,1124.95,1110.1,1114.6,1112.7,1112.45,1117.7,1269,799.35,1107470,1237814740,47773,TATA
13-06-2024,EQ,1130,1133,1104.05,1124.65,1114,1114.6,1113.13,1269,799.35,1605436,1787064372,68019,TATA
12-06-2024,EQ,1142,1142,1123.5,1135.6,1125.25,1124.65,1129.69,1269,799.35,773116,873380836.6,38797,TATA
11-06-2024,EQ,1133.05,1144.8,1126.7,1133.05,1134.85,1135.6,1138.57,1269,799.35,805013,916565518.8,35213,TATA
10-06-2024,EQ,1139,1143.45,1125.65,1135.65,1130,1133.05,1136.34,1269,799.35,1392359,1582190228,50902,TATA
07-06-2024,EQ,1149,1149,1131.6,1139.9,1135,1135.65,1136.81,1269,784.45,1877248,2134075531,65214,TATA
06-06-2024,EQ,1148,1148,1119.6,1142.4,1143.5,1139.9,1134.48,1269,784.45,2655137,3012197966,127431,TATA
05-06-2024,EQ,1109,1160,1093.15,1087,1139.05,1142.4,1139.07,1269,784.45,6089603,6936475068,250489,TATA
04-06-2024,EQ,1069.15,1092.6,1028.9,1069.15,1087.1,1087,1074.9,1269,784.45,3223165,3464565150,140926,TATA
03-06-2024,EQ,1076.4,1082.9,1063.35,1060.25,1070.1,1069.15,1072.59,1269,784.45,1323788,1419884874,58902,TATA
31-05-2024,EQ,1069.7,1070.8,1048.3,1067.2,1054.75,1060.25,1060.88,1269,784.45,4787041,5078477105,92460,TATA
30-05-2024,EQ,1071,1074.45,1052,1071.3,1073.95,1067.2,1059.57,1269,784.45,2743237,2906655971,121993,TATA
29-05-2024,EQ,1085,1090,1068,1095.55,1071.8,1071.3,1080.1,1269,784.45,1526469,1648733403,55538,TATA
28-05-2024,EQ,1089,1097.95,1080,1087.9,1090.35,1095.55,1089.9,1269,784.45,981637,1069889627,49049,TATA
27-05-2024,EQ,1099,1110,1086.65,1098.25,1087.05,1087.9,1098.14,1269,784.45,1881215,2065835697,46573,TATA
